Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
347458,Jewel Food Store 3344,1220 S Ashland Ave,NA,Chicago,IL,60608,1402,COOK,Supermarket,41.866371,-87.666481,NA,NA,9361,"c(-87.666481, 41.866371)"
349632,SAFEWAY  2651,340 E McDowell Rd,NA,Phoenix,AZ,85004,1533,MARICOPA,Supermarket,33.465736,-112.06743,NA,NA,9523,"c(-112.06743, 33.465736)"
350065,MR G'S FOOD & LIQUOR,332 E 58th St,NA,Chicago,IL,60637,1349,COOK,Grocery Store,41.789368,-87.618011,NA,NA,9771,"c(-87.618011, 41.789368)"
351440,Bashas' 11,4855 E Warner Rd,NA,Phoenix,AZ,85044,3308,MARICOPA,Super Store,33.330803,-111.9803,NA,NA,9825,"c(-111.9803, 33.330803)"
355109,Food City 149,6025 N 27th Ave,NA,Phoenix,AZ,85017,1763,MARICOPA,Super Store,33.524452,-112.11684,NA,NA,10071,"c(-112.11684, 33.524452)"
452601,Fair Share Foods,6422 W 63rd St,NA,Chicago,IL,60638,5004,COOK,Super Store,41.777702,-87.78212,NA,NA,10653,"c(-87.78212, 41.777702)"
257333,Sprouts Farmers Market 4,12415 N Tatum Blvd,NA,Phoenix,AZ,85032,7708,MARICOPA,Supermarket,33.599819,-111.97973,NA,NA,11206,"c(-111.97973, 33.599819)"
344143,Save A Lot 61313,7240 S Stony Island Ave,NA,Chicago,IL,60649,2838,COOK,Supermarket,41.763069,-87.587303,NA,NA,11447,"c(-87.587303, 41.763069)"
256150,Food Pride Super Market,500 E Warren Ave,NA,Detroit,MI,48201,1436,WAYNE,Super Store,42.359032,-83.058914,NA,NA,11473,"c(-83.058914, 42.359032)"
281991,Food City 107,7227 S Central Ave,NA,Phoenix,AZ,85042,5455,MARICOPA,Super Store,33.380314,-112.07184,NA,NA,11859,"c(-112.07184, 33.380314)"
342254,Albertsons 2952,8035 N 19th Ave,NA,Phoenix,AZ,85021,5159,MARICOPA,Supermarket,33.55431,-112.09965,NA,NA,11985,"c(-112.09965, 33.55431)"
336153,Jewel Food Store 92,1655 E 95th St,NA,Chicago,IL,60617,4707,COOK,Supermarket,41.722313,-87.583588,NA,NA,12135,"c(-87.583588, 41.722313)"
240540,Bashas' 113,731 E Union Hills Dr,NA,Phoenix,AZ,85024,2900,MARICOPA,Super Store,33.654823,-112.06391,NA,NA,12179,"c(-112.06391, 33.654823)"
